Name,Condition,Recommendations,Acrive Ingredients,Uses,
Advil Cold & Sinus,"Cough/Cold/Flu Combinations, Solid Formulations",376463.88,"In each caplet:
Ibuprofen 200 mg (NSAID)*; Pain reliever/fever reducer
Pseudoephedrine HCl 30 mg; Nasal decongestant
*nonsteroidal anti-inflammatory drug","['headache', 'fever', 'sinus pressure', 'nasal congestion', 'minor body aches and pains']",
Advil Cold & Sinus,"Cough/Cold/Flu Combinations, Solid Formulations",376463.88,"In each capsule:
Solubilized ibuprofen equal to 200 mg ibuprofen (NSAID)*; Pain reliever/fever reducer
Pseudoephedrine HCl 30 mg; Nasal decongestant
*nonsteroidal anti-inflammatory drug","['headache', 'fever', 'sinus pressure', 'nasal congestion', 'minor body aches and pains']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Solid Formulations",115835.04,"Alka-Seltzer Plus® Severe Cough, Mucus & Congestion Day Liquid Gels:
In each capsule:
Acetaminophen 250 mg; Pain reliever/fever reducer
Dextromethorphan hydrobromide 10 mg; Cough suppressant
Guaifenesin 200 mg; Expectorant
Phenylephrine hydrochloride 5 mg; Nasal decongestant

Alka-Seltzer Plus® Severe Cough, Mucus & Congestion Night Liquid Gels:

Acetaminophen 325 mg; Pain reliever/fever reducer
Dextromethorphan hydrobromide 10 mg; Cough suppressant
Doxylamine succinate 6.25 mg; Antihistamine
Phenylephrine hydrochloride 5 mg; Nasal decongestant","['temporarily relieves these symptoms due to a cold or flu:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing', 'headache', 'minor aches and pains', 'cough', 'sore throat', 'nasal congestion', 'sinus congestion and pressure', 'runny nose', 'sneezing', 'temporarily reduces fever', 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Solid Formulations",115835.04,"In each capsule:
Acetaminophen 325 mg; Pain reliever/fever reducer
Dextromethorphan hydrobromide 10 mg; Cough suppressant
Doxylamine succinate 6.25 mg; Antihistamine
Phenylephrine hydrochloride 5 mg; Nasal decongestant","['temporarily relieves these symptoms due to a cold or flu:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing', 'headache', 'minor aches and pains', 'cough', 'sore throat', 'nasal congestion', 'sinus congestion and pressure', 'runny nose', 'sneezing', 'temporarily reduces fever', 'temporarily relieves these symptoms due to hay fever or other upper respiratory allergies: runny nose, sneezing, itching of the nose or throat, itchy, watery eyes']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Solid Formulations",115835.04,"In each capsule:
Acetaminophen 250 mg; Pain reliever/fever reducer
Dextromethorphan hydrobromide 10 mg; Cough suppressant
Guaifenesin 200 mg; Expectorant
Phenylephrine hydrochloride 5 mg; Nasal decongestant","['temporarily relieves these symptoms due to a cold or flu:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing', 'headache', 'minor aches and pains', 'cough', 'sore throat', 'nasal congestion', 'sinus congestion and pressure', 'runny nose', 'sneezing', 'temporarily reduces fever']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Solid Formulations",115835.04," 









					 

					Active ingredients (in each capsule)

					Purposes





					 

					Acetaminophen 325 mg

					Pain reliever/fever reducer



					 

					Dextromethorphan hydrobromide 10 mg

					Cough suppressant



					 

					Phenylephrine hydrochloride 5 mg

					Nasal decongestant","['temporarily relieves these symptoms due to a cold or flu:\r\n\t\t\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tnasal congestion', 'minor aches and pains', 'headache', 'cough', 'sore throat', 'nasal congestion', 'temporarily relieves sinus congestion and pressure', 'helps clear nasal passages and shrinks swollen membranes', 'temporarily reduces fever']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Solid Formulations",115835.04,"Alka-Seltzer Plus® Severe Cough, Mucus & Congestion Day Liquid Gels:
In each capsule:
Acetaminophen 250 mg; Pain reliever/fever reducer
Dextromethorphan hydrobromide 10 mg; Cough suppressant
Guaifenesin 200 mg; Expectorant
Phenylephrine hydrochloride 5 mg; Nasal decongestant

Alka-Seltzer Plus® Severe Cough, Mucus & Congestion Night Liquid Gels:
In each capsule:
Acetaminophen 325 mg; Pain reliever/fever reducer
Dextromethorphan hydrobromide 10 mg; Cough suppressant
Doxylamine succinate 6.25 mg; Antihistamine
Phenylephrine hydrochloride 5 mg; Nasal decongestant","['temporarily relieves these symptoms due to a cold or flu:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing', 'headache', 'minor aches and pains', 'cough', 'sore throat', 'nasal congestion', 'sinus congestion and pressure', 'runny nose', 'sneezing', 'temporarily reduces fever', 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Solid Formulations",115835.04,"In each capsule:
Acetaminophen 325 mg: pain reliever/fever reducer
Chlorpheniramine maleate 2 mg; antihistamine
Dextromethorphan hydrobromide 10 mg; cough suppressant
Phenylephrine hydrochloride 5 mg; nasal decongestant","['temporarily relieves these symptoms due to a cold or flu:\r\n\t\t\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tnasal and sinus congestion\n\r\n\t\t\t\tcough\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\tsore throat', 'minor aches and pains', 'headache', 'nasal and sinus congestion', 'cough', 'runny nose', 'sneezing', 'sore throat', 'temporarily reduces fever']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Solid Formulations",115835.04,"In each capsule: 
Acetaminophen 325 mg; Pain reliever-fever reducer
Doxylamine succinate 6.25 mg; Antihistamine
Phenylephrine hydrochloride 5 mg; Nasal decongestant","['temporarily relieves these symptoms due to a cold or flu:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing', 'headache', 'minor aches and pains', 'cough', 'sore throat', 'nasal congestion', 'sinus congestion and pressure', 'runny nose', 'sneezing', 'temporarily reduces fever', 'temporarily relieves these symptoms due to hay fever or other upper respiratory allergies: runny nose, sneezing, itching of the nose or throat, itchy, watery eyes']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Solid Formulations",115835.04,"In each packet

	Acetaminophen 650 mg; Pain reliever/fever reducer

	Dextromethorphan hydrobromide 20 mg; Cough suppressant

	Doxylamine succinate 12.5 mg; Antihistamine

	Phenylephrine hydrochloride 10 mg; Nasal decongestant","['temporarily relieves these symptoms due to a cold or flu:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing', 'headache', 'minor aches and pains', 'cough', 'sore throat', 'nasal congestion', 'sinus congestion and pressure', 'runny nose', 'sneezing', 'temporarily reduces fever']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Solid Formulations",115835.04,"In each capsule:
Acetaminophen 325 mg; Pain reliever/fever reducer
Chlorpheniramine maleate 2 mg; Antihistamine
Dextromethorphan hydrobromide 10 mg; Cough suppressant
Pseudoephedrine HCl 30 mg; Nasal decongestant","['temporarily relieves these symptoms due to a cold or flu:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing', 'headache', 'minor aches and pains', 'cough', 'sore throat', 'nasal congestion', 'sinus congestion and pressure', 'runny nose', 'sneezing', 'temporarily reduces fever', 'temporarily relieves these symptoms due to hay fever or other upper respiratory allergies: runny nose, sneezing, itching of the nose or throat, itchy, watery eyes']",
Alka-Seltzer Plus,"Cough/Cold/Flu Combinations, Solid Formulations",115835.04,,,
Coricidin HBP,"Cough/Cold/Flu Combinations, Solid Formulations",260628.84,"In each softgel:
Dextromethorphan hydrobromide 10 mg; cough suppressant
Guaifenesin 200 mg; expectorant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'helps loosen phlegm (mucus) and thin bronchial secretions to make coughs more productive']",
Coricidin HBP,"Cough/Cold/Flu Combinations, Solid Formulations",260628.84,"In each tablet:
Acetaminophen 325 mg; pain reliever/fever reducer
Chlorpheniramine maleate 2 mgAntihistamine","['temporarily relieves\r\n\t\t\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\trunny nose', 'minor aches and pains', 'headache', 'sneezing', 'runny nose', 'temporarily reduces fever']",
Coricidin HBP,"Cough/Cold/Flu Combinations, Solid Formulations",260628.84,"In each tablet:
	Chlorpheniramine maleate 4 mg; antihistamine

	Dextromethorphan hydrobromide 30 mg; cough suppressant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'temporarily relieves runny nose and sneezing due to the common cold']",
Coricidin HBP,"Cough/Cold/Flu Combinations, Solid Formulations",260628.84,"In each tablet:
Acetaminophen 500 mg; pain reliever/fever reducer
Chlorpheniramine maleate 2 mg; antihistamine
Dextromethorphan hydrobromide 15 mg; cough suppressant","['temporarily relieves\r\n\t\t\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tcough\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing', 'minor aches and pains', 'headache', 'cough', 'runny nose', 'sneezing', 'temporarily reduces fever']",
Coricidin HBP,"Cough/Cold/Flu Combinations, Solid Formulations",260628.84,"In each softgel:
	Dextromethorphan hydrobromide 10 mg; cough Suppressant

	Guaifenesin 200 mg; expectorant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'helps loosen phlegm (mucus) and thin bronchial secretions to make coughs more productive']",
Sudafed PE (phenylephrine),"Cough/Cold/Flu Combinations, Solid Formulations",86876.28,"In each caplet:
	Acetaminophen 325 mg; pain reliever/fever reducer

	Dextromethorphan HBr 10 mg; cough suppressant

	Phenylephrine HCl 5 mg; nasal decongestant","['temporarily relieves these common cold/flu symptoms:\r\n\t\t\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache', 'sinus congestion and pressure', 'nasal congestion', 'cough', 'sore throat', 'minor aches and pains', 'headache', 'promotes nasal and sinus drainage', 'temporarily reduces fever']",
Sudafed PE (phenylephrine),"Cough/Cold/Flu Combinations, Solid Formulations",86876.28,"In each caplet:

	cetaminophen 325 mg; pain reliever/fever reducer

	Dextromethorphan HBr 10 mg; cough suppressant

	Guaifenesin 100 mg; expectorant

	Phenylephrine HCl 5 mg; nasal decongestant","['temporarily relieves these symptoms due to the common cold:\r\n\t\t\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat', 'nasal congestion', 'headache', 'minor aches and pains', 'cough', 'sore throat', 'helps loosen phlegm (mucus) and thin bronchial secretions to drain bronchial tubes and make coughs more productive', 'temporarily reduces fever']",
Sudafed PE (phenylephrine),"Cough/Cold/Flu Combinations, Solid Formulations",86876.28,"In each caplet:

	Acetaminophen 325 mg; pain reliever/fever reducer

	Phenylephrine HCl 5 mg; nasal decongestant","['temporarily relieves these symptoms associated with hay fever or other respiratory allergies, and the common cold:\r\n\t\t\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tnasal congestion', 'sinus congestion and pressure', 'headache', 'minor aches and pains', 'nasal congestion', 'promotes sinus drainage', 'temporarily reduces fever']",
Sudafed PE (phenylephrine),"Cough/Cold/Flu Combinations, Solid Formulations",86876.28,"In each caplet:

	Acetaminophen 325 mg; pain reliever/fever reducer

	Guaifenesin 200 mg; expectorant

	Phenylephrine HCl 5 mg; nasal decongestant","['temporarily relieves these symptoms associated with hay fever or other respiratory allergies, and the common cold:\r\n\t\t\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tnasal congestion', 'sinus congestion and pressure', 'headache', 'minor aches and pains', 'nasal congestion', 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive', 'temporarily reduces fever']",
Mucinex,"Cough/Cold/Flu Combinations, Solid Formulations",752927.76,"In each tablet:
Dextromethorphan HBr 60 mg; cough suppressant
Guaifenesin 1200 mg; expectorant","['helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive', 'temporarily relieves:\r\n\t\t\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants\n\r\n\t\t\t\tthe intensity of coughing\n\r\n\t\t\t\tthe impulse to cough to help you get to sleep', 'cough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants', 'the intensity of coughing', 'the impulse to cough to help you get to sleep']",
Mucinex,"Cough/Cold/Flu Combinations, Solid Formulations",752927.76,"In each tablet:
Dextromethorphan HBr 30 mg; cough suppressant
Guaifenesin 600 mg; expectorant","['helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive', 'temporarily relieves:\r\n\t\t\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants\n\r\n\t\t\t\tthe intensity of coughing\n\r\n\t\t\t\tthe impulse to cough to help you get to sleep', 'cough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants', 'the intensity of coughing', 'the impulse to cough to help you get to sleep']",
Sudafed PE (phenylephrine),"Decongestants, Oral",229815,"In each caplet:

	Acetaminophen 325 mg; pain reliever/fever reducer

	Phenylephrine HCl 5 mg; nasal decongestant","['temporarily relieves these symptoms associated with hay fever or other respiratory allergies, and the common cold:\r\n\t\t\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tnasal congestion', 'sinus congestion and pressure', 'headache', 'minor aches and pains', 'nasal congestion', 'promotes sinus drainage', 'temporarily reduces fever']",
Sudafed PE (phenylephrine),"Decongestants, Oral",229815,"In each caplet:

	cetaminophen 325 mg; pain reliever/fever reducer

	Dextromethorphan HBr 10 mg; cough suppressant

	Guaifenesin 100 mg; expectorant

	Phenylephrine HCl 5 mg; nasal decongestant","['temporarily relieves these symptoms due to the common cold:\r\n\t\t\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat', 'nasal congestion', 'headache', 'minor aches and pains', 'cough', 'sore throat', 'helps loosen phlegm (mucus) and thin bronchial secretions to drain bronchial tubes and make coughs more productive', 'temporarily reduces fever']",
Sudafed PE (phenylephrine),"Decongestants, Oral",229815,"In each caplet:
	Acetaminophen 325 mg; pain reliever/fever reducer

	Dextromethorphan HBr 10 mg; cough suppressant

	Phenylephrine HCl 5 mg; nasal decongestant","['temporarily relieves these common cold/flu symptoms:\r\n\t\t\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache', 'sinus congestion and pressure', 'nasal congestion', 'cough', 'sore throat', 'minor aches and pains', 'headache', 'promotes nasal and sinus drainage', 'temporarily reduces fever']",
Sudafed PE (phenylephrine),"Decongestants, Oral",229815,"In each caplet:

	Acetaminophen 325 mg; pain reliever/fever reducer

	Guaifenesin 200 mg; expectorant

	Phenylephrine HCl 5 mg; nasal decongestant","['temporarily relieves these symptoms associated with hay fever or other respiratory allergies, and the common cold:\r\n\t\t\n\r\n\t\t\t\tsinus congestion and pressure\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\tnasal congestion', 'sinus congestion and pressure', 'headache', 'minor aches and pains', 'nasal congestion', 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive', 'temporarily reduces fever']",
